class,path,width,height,alpha_bbox,pair_key,source
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/01_panels/clean_left_panel.png,203,419,"0,0,203,419",left_panel,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/01_panels/clean_left_panel.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/01_panels/clean_right_panel.png,190,422,"0,0,190,422",right_panel,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/01_panels/clean_right_panel.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/00_full_screens/clean_full_screen.png,700,480,"0,0,700,480",full_screen,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/00_full_screens/clean_full_screen.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/accent_corner_blue_frame.png,153,111,"0,0,153,111",accent_corner_blue_frame,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/accent_corner_blue_frame.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/accent_corner_orange.png,86,68,"0,0,86,68",accent_corner_orange,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/accent_corner_orange.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/accent_long_divider.png,234,47,"0,0,234,47",accent_long_divider,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/accent_long_divider.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/clean_header_bar.png,324,113,"0,0,324,113",header_bar,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/server_menu/03_headers_accents/clean_header_bar.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/scrollbar.png,53,127,"0,0,53,127",scrollbar,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/scrollbar.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/normal_row_clean.png,291,61,"0,0,291,61",normal_row,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/normal_row_clean.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/start_button_clean.png,202,50,"0,0,202,50",start_button,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/start_button_clean.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/selected_row_clean.png,293,67,"0,0,293,67",selected_row,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/selected_row_clean.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/arrow_up_down.png,50,114,"0,0,50,114",arrow_up_down,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/02_rows_buttons/arrow_up_down.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/01_panels/clean_list_panel.png,197,302,"0,0,197,302",list_panel,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/01_panels/clean_list_panel.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/01_panels/clean_detail_panel.png,297,296,"0,0,297,296",detail_panel,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/01_panels/clean_detail_panel.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/01_panels/body_text_panel_clean.png,215,88,"0,0,215,88",body_text_panel,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/01_panels/body_text_panel_clean.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/00_full_screens/clean_full_screen.png,703,492,"0,0,703,492",full_screen,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/00_full_screens/clean_full_screen.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_target.png,52,47,"0,0,52,47",icon_target,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_target.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_fist.png,37,49,"0,0,37,49",icon_fist,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_fist.png
